level1,level2,level3,url
cuidado personal,cuidado de la piel,afeitada y depilacion,https://www.larebajavirtual.com/catalogo/categoria/categoria/116
cuidado personal,cuidado de la piel,corporal,https://www.larebajavirtual.com/catalogo/categoria/categoria/117
cuidado personal,cuidado de la piel,facial,https://www.larebajavirtual.com/catalogo/categoria/categoria/118
cuidado personal,cuidado de la piel,repelentes,https://www.larebajavirtual.com/catalogo/categoria/categoria/119
cuidado personal,cuidado de la piel,solares,https://www.larebajavirtual.com/catalogo/categoria/categoria/120
cuidado personal,cuidado oral,cepillos dentales,https://www.larebajavirtual.com/catalogo/categoria/categoria/109
cuidado personal,cuidado oral,cremas dentales,https://www.larebajavirtual.com/catalogo/categoria/categoria/110
cuidado personal,cuidado oral,enjuagues bucales,https://www.larebajavirtual.com/catalogo/categoria/categoria/111
cuidado personal,cuidado oral,ortodoncia,https://www.larebajavirtual.com/catalogo/categoria/categoria/112
cuidado personal,cuidado oral,protesis,https://www.larebajavirtual.com/catalogo/categoria/categoria/113
cuidado personal,cuidado oral,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/108
cuidado personal,dermocosmetica,cabello,https://www.larebajavirtual.com/catalogo/categoria/categoria/93
cuidado personal,dermocosmetica,cuerpo,https://www.larebajavirtual.com/catalogo/categoria/categoria/94
cuidado personal,dermocosmetica,maquillaje,https://www.larebajavirtual.com/catalogo/categoria/categoria/95
cuidado personal,dermocosmetica,rostro,https://www.larebajavirtual.com/catalogo/categoria/categoria/96
cuidado personal,dermocosmetica,solares,https://www.larebajavirtual.com/catalogo/categoria/categoria/97
cuidado personal,incontinencia,especializados,https://www.larebajavirtual.com/catalogo/categoria/categoria/99
cuidado personal,incontinencia,fuerte,https://www.larebajavirtual.com/catalogo/categoria/categoria/100
cuidado personal,incontinencia,leve,https://www.larebajavirtual.com/catalogo/categoria/categoria/101
cuidado personal,maquillaje y perfumeria,fragancias y estuches,https://www.larebajavirtual.com/catalogo/categoria/categoria/103
cuidado personal,maquillaje y perfumeria,labios,https://www.larebajavirtual.com/catalogo/categoria/categoria/104
cuidado personal,maquillaje y perfumeria,ojos,https://www.larebajavirtual.com/catalogo/categoria/categoria/105
cuidado personal,maquillaje y perfumeria,rostro,https://www.larebajavirtual.com/catalogo/categoria/categoria/106
cuidado personal,maquillaje y perfumeria,u�as,https://www.larebajavirtual.com/catalogo/categoria/categoria/107
cuidado personal,proteccion femenina,higiene intima,https://www.larebajavirtual.com/catalogo/categoria/categoria/122
cuidado personal,proteccion femenina,protectores,https://www.larebajavirtual.com/catalogo/categoria/categoria/123
cuidado personal,proteccion femenina,tampones,https://www.larebajavirtual.com/catalogo/categoria/categoria/124
cuidado personal,proteccion femenina,toallas,https://www.larebajavirtual.com/catalogo/categoria/categoria/125
dermocosmetica,cabello,cuidado,https://www.larebajavirtual.com/catalogo/categoria/categoria/169
dermocosmetica,cuerpo,cuidado,https://www.larebajavirtual.com/catalogo/categoria/categoria/171
dermocosmetica,cuerpo,higiene,https://www.larebajavirtual.com/catalogo/categoria/categoria/172
dermocosmetica,cuerpo,humectacion,https://www.larebajavirtual.com/catalogo/categoria/categoria/173
dermocosmetica,cuerpo,piel sensible,https://www.larebajavirtual.com/catalogo/categoria/categoria/174
dermocosmetica,maquillaje,rostro,https://www.larebajavirtual.com/catalogo/categoria/categoria/176
dermocosmetica,rostro,despigmentacion,https://www.larebajavirtual.com/catalogo/categoria/categoria/178
dermocosmetica,rostro,acne,https://www.larebajavirtual.com/catalogo/categoria/categoria/179
dermocosmetica,rostro,antiedad,https://www.larebajavirtual.com/catalogo/categoria/categoria/180
dermocosmetica,rostro,humectacion,https://www.larebajavirtual.com/catalogo/categoria/categoria/181
dermocosmetica,rostro,limpieza,https://www.larebajavirtual.com/catalogo/categoria/categoria/182
dermocosmetica,rostro,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/177
dermocosmetica,solares,adultos,https://www.larebajavirtual.com/catalogo/categoria/categoria/185
dermocosmetica,solares,ni�os,https://www.larebajavirtual.com/catalogo/categoria/categoria/186
dermocosmetica,solares,labios,https://www.larebajavirtual.com/catalogo/categoria/categoria/187
maquillaje y accesorios,accesorios de mujer,accesorios,https://www.larebajavirtual.com/catalogo/categoria/categoria/190
